[[41630.999773062], [46.7805471], [6.661544999999999], [498110], [1535], [837], [9]]
[[41631.249772955], [46.7805488], [6.6615497], [498126], [1464], [775], [36]]
[[41631.499772849], [46.7805507], [6.6615547], [498126], [1517], [879], [-15]]
[[41631.749772744], [46.7805526], [6.6615591], [498176], [1261], [855], [-70]]
[[41631.999772639], [46.780555], [6.6615636], [498160], [1435], [1048], [-92]]
[[41632.249772533], [46.7805569], [6.661568099999999], [498203], [1355], [863], [-15]]
[[41632.499772427], [46.780558899999996], [6.6615728], [498186], [1469], [931], [-91]]
[[41632.749772321], [46.780561], [6.661577299999999], [498250], [1317], [866], [-48]]
[[41632.999772217], [46.7805633], [6.6615819], [498222], [1455], [1097], [-112]]
[[41633.24977211], [46.780564999999996], [6.6615866], [498240], [1379], [739], [3]]
[[41633.499772004], [46.780566799999995], [6.661591199999999], [498182], [1410], [788], [26]]
[[41633.749771899], [46.780568699999996], [6.6615953999999995], [498226], [1293], [848], [85]]
[[41633.999771794], [46.7805707], [6.6615999], [498179], [1381], [893], [-46]]
[[41634.249771688], [46.7805724], [6.661603899999999], [498210], [1212], [754], [50]]
[[41634.499771582], [46.7805743], [6.6616086], [498195], [1433], [853], [-13]]
[[41634.749771476], [46.7805764], [6.6616127], [498276], [1260], [886], [-29]]
[[41634.999771372], [46.7805786], [6.6616173], [498243], [1430], [1082], [-184]]
[[41635.249771265], [46.7805804], [6.6616218], [498260], [1349], [758], [7]]
[[41635.499771159], [46.780582599999995], [6.6616263], [498198], [1428], [988], [27]]
[[41635.749771054], [46.7805846], [6.6616303], [498231], [1123], [899], [102]]
[[41635.999770949], [46.780587], [6.6616348], [498198], [1458], [1018], [-18]]
[[41636.249770843], [46.780588699999996], [6.661639399999999], [498275], [1343], [718], [2]]
[[41636.499770737], [46.7805908], [6.661643799999999], [498263], [1411], [974], [-180]]
[[41636.749770632], [46.780592899999995], [6.6616477], [498292], [1148], [920], [-40]]
[[41636.999770527], [46.780595299999995], [6.6616523], [498262], [1433], [1099], [-29]]
[[41637.24977042], [46.7805971], [6.6616569], [498291], [1364], [716], [24]]
[[41637.499770315], [46.7805989], [6.6616618], [498260], [1528], [875], [-24]]
[[41637.749770209], [46.780601], [6.6616656], [498333], [1111], [848], [-21]]
[[41637.999770104], [46.7806034], [6.6616696], [498289], [1287], [1138], [-108]]
[[41638.249769998], [46.7806056], [6.661673599999999], [498327], [1186], [974], [34]]
[[41638.499769892], [46.780607599999996], [6.6616776], [498326], [1223], [909], [-85]]
[[41638.749769787], [46.7806095], [6.6616821999999996], [498312], [1424], [828], [18]]
[[41638.999769682], [46.7806103], [6.661684999999999], [498416], [814], [286], [-78]]
[[41639.249769575], [46.780610499999995], [6.6616864], [498465], [453], [125], [-325]]
[[41639.49976947], [46.7806103], [6.6616873], [498464], [291], [-10], [-157]]
[[41639.749769364], [46.7806103], [6.6616886], [498461], [404], [-29], [-8]]
[[41639.99976926], [46.7806108], [6.6616911], [498423], [805], [265], [40]]
[[41640.249769153], [46.780610599999996], [6.6616957], [498366], [1367], [-10], [171]]
[[41640.499769048], [46.7806091], [6.6616998999999995], [498353], [1275], [-783], [130]]
[[41640.749768942], [46.780606999999996], [6.6617039], [498317], [1223], [-911], [107]]
[[41640.999768838], [46.7806052], [6.6617079], [498384], [1176], [-780], [49]]
[[41641.249768731], [46.7806029], [6.6617115], [498313], [1131], [-1023], [-95]]
[[41641.499768625], [46.780600799999995], [6.6617152], [498391], [1089], [-918], [71]]
[[41641.74976852], [46.7805988], [6.66172], [498373], [1481], [-913], [-144]]
[[41641.999768415], [46.7805977], [6.6617248], [498434], [1475], [-484], [-40]]
[[41642.249768309], [46.7805975], [6.6617299], [498396], [1642], [-117], [-107]]
